label,vars,var0_min,var0_max,var1_min,var1_max,var2_min,var2_max,value,stat_up,stat_down,syst_up,syst_down
PixelVeto,r9_abseta_pt,0.00000000000000000000e+00,9.39999999999999946709e-01,0.00000000000000000000e+00,1.44419999999999992824e+00,1.00000000000000000000e+01,2.00000000000000000000e+02,1.00478899478912353516e+00,1.64000000804662704468e-02,1.64000000804662704468e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
PixelVeto,r9_abseta_pt,0.00000000000000000000e+00,9.39999999999999946709e-01,1.56600000000000005862e+00,2.50000000000000000000e+00,1.00000000000000000000e+01,2.00000000000000000000e+02,1.00702977180480957031e+00,4.01000007987022399902e-02,4.01000007987022399902e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
PixelVeto,r9_abseta_pt,9.39999999999999946709e-01,1.00000000000000000000e+01,0.00000000000000000000e+00,1.44419999999999992824e+00,1.00000000000000000000e+01,2.00000000000000000000e+02,9.85097408294677734375e-01,8.60000029206275939941e-03,8.60000029206275939941e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
PixelVeto,r9_abseta_pt,9.39999999999999946709e-01,1.00000000000000000000e+01,1.56600000000000005862e+00,2.50000000000000000000e+00,1.00000000000000000000e+01,2.00000000000000000000e+02,9.72968995571136474609e-01,6.00000005215406417847e-03,6.00000005215406417847e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
