label,vars,var0_min,var0_max,var1_min,var1_max,value,stat_up,stat_down,syst_up,syst_down
CutBasedLooseWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,9.87149532710280386283e-01,1.72980057184121856217e-02,1.72980057184121856217e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,9.88221436984688006433e-01,2.27023972525280948176e-02,2.27023972525280948176e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-1.44399999999999995026e+00,-7.99999999999999822364e-01,9.88358556461001236393e-01,2.25585825088196259558e-02,2.25585825088196259558e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-8.00000000000000044409e-01,0.00000000000000000000e+00,9.84431137724550597845e-01,2.36356339592702011099e-02,2.36356339592702011099e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,0.00000000000000000000e+00,8.00000000000000044409e-01,9.90396158463385356541e-01,2.36923821800607697918e-02,2.36923821800607697918e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,7.99999999999999822364e-01,1.44399999999999995026e+00,9.92990654205607836680e-01,2.26376429615374463733e-02,2.26376429615374463733e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,1.56599999999999961453e+00,2.00000000000000000000e+00,9.88193624557261007801e-01,2.27560038576108090991e-02,2.27560038576108090991e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,2.00000000000000000000e+00,2.50000000000000000000e+00,9.85981308411214563137e-01,1.72980057184121856217e-02,1.72980057184121856217e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,9.89106753812636019241e-01,9.54325461216511648777e-03,9.54325461216511648777e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,9.93392070484581446443e-01,9.55360769432684817093e-03,9.55360769432684817093e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,-1.44399999999999995026e+00,-7.99999999999999822364e-01,9.90206746463547227144e-01,1.14254624591948357459e-02,1.14254624591948357459e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,-8.00000000000000044409e-01,0.00000000000000000000e+00,9.83443708609271549648e-01,7.68674849734219192698e-03,7.68674849734219192698e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,0.00000000000000000000e+00,8.00000000000000044409e-01,9.90022172949001966202e-01,7.72083607382707468036e-03,7.72083607382707468036e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,7.99999999999999822364e-01,1.44399999999999995026e+00,9.90196078431372583850e-01,1.14379084967320809180e-02,1.14379084967320809180e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,1.56599999999999961453e+00,2.00000000000000000000e+00,9.86769570011025165535e-01,9.56414088913867289909e-03,9.56414088913867289909e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,2.00000000000000000000e+00,2.50000000000000000000e+00,9.97809419496166416508e-01,9.59551778090643285590e-03,9.59551778090643285590e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,5.00000000000000000000e+01,9.00000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,9.92448759439050642861e-01,1.47713742584995814250e-02,1.47713742584995814250e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,5.00000000000000000000e+01,9.00000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,9.89047097480832193561e-01,1.12367385151605631011e-02,1.12367385151605631011e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,5.00000000000000000000e+01,9.00000000000000000000e+01,-1.44399999999999995026e+00,-7.99999999999999822364e-01,9.84766050054406427705e-01,6.55146603851599826362e-03,6.55146603851599826362e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,5.00000000000000000000e+01,9.00000000000000000000e+01,-8.00000000000000044409e-01,0.00000000000000000000e+00,9.76872246696035229085e-01,1.12448115950783047307e-02,1.12448115950783047307e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,5.00000000000000000000e+01,9.00000000000000000000e+01,0.00000000000000000000e+00,8.00000000000000044409e-01,9.83407079646017812102e-01,1.12945673985963505187e-02,1.12945673985963505187e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,5.00000000000000000000e+01,9.00000000000000000000e+01,7.99999999999999822364e-01,1.44399999999999995026e+00,9.87991266375545573730e-01,6.57292280501768806655e-03,6.57292280501768806655e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,5.00000000000000000000e+01,9.00000000000000000000e+01,1.56599999999999961453e+00,2.00000000000000000000e+00,9.91218441273326034135e-01,1.12614075349523560382e-02,1.12614075349523560382e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,5.00000000000000000000e+01,9.00000000000000000000e+01,2.00000000000000000000e+00,2.50000000000000000000e+00,9.94577006507591954154e-01,1.48514793249773461442e-02,1.48514793249773461442e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,9.00000000000000000000e+01,1.50000000000000000000e+02,-2.50000000000000000000e+00,-2.00000000000000000000e+00,1.01307189542483633282e+00,1.35071860213913028104e-02,1.35071860213913028104e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,9.00000000000000000000e+01,1.50000000000000000000e+02,-2.00000000000000000000e+00,-1.56599999999999961453e+00,1.00781250000000000000e+00,1.04287006646376981256e-02,1.04287006646376981256e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,9.00000000000000000000e+01,1.50000000000000000000e+02,-1.44399999999999995026e+00,-7.99999999999999822364e-01,1.02125279642058153229e+00,9.44180258173049277715e-03,9.44180258173049277715e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,9.00000000000000000000e+01,1.50000000000000000000e+02,-8.00000000000000044409e-01,0.00000000000000000000e+00,1.01700680272108834323e+00,7.83974868817426812084e-03,7.83974868817426812084e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,9.00000000000000000000e+01,1.50000000000000000000e+02,0.00000000000000000000e+00,8.00000000000000044409e-01,1.01820250284414104414e+00,8.00412245703661061336e-03,8.00412245703661061336e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,9.00000000000000000000e+01,1.50000000000000000000e+02,7.99999999999999822364e-01,1.44399999999999995026e+00,1.02015677491601342020e+00,9.45237570892167901226e-03,9.45237570892167901226e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,9.00000000000000000000e+01,1.50000000000000000000e+02,1.56599999999999961453e+00,2.00000000000000000000e+00,1.02015677491601342020e+00,1.05940021995657943782e-02,1.05940021995657943782e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,9.00000000000000000000e+01,1.50000000000000000000e+02,2.00000000000000000000e+00,2.50000000000000000000e+00,1.03880266075388028035e+00,1.35100416928535613931e-02,1.35100416928535613931e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,1.50000000000000000000e+02,5.00000000000000000000e+02,-2.50000000000000000000e+00,-2.00000000000000000000e+00,1.02214839424141756830e+00,3.89215100128238872257e-02,3.89215100128238872257e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,1.50000000000000000000e+02,5.00000000000000000000e+02,-2.00000000000000000000e+00,-1.56599999999999961453e+00,9.83516483516483241978e-01,2.29095183949333640328e-02,2.29095183949333640328e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,1.50000000000000000000e+02,5.00000000000000000000e+02,-1.44399999999999995026e+00,-7.99999999999999822364e-01,1.00788288288288274686e+00,1.69784755442731992436e-02,1.69784755442731992436e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,1.50000000000000000000e+02,5.00000000000000000000e+02,-8.00000000000000044409e-01,0.00000000000000000000e+00,1.02883506343713970743e+00,1.47594969920066560604e-02,1.47594969920066560604e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,1.50000000000000000000e+02,5.00000000000000000000e+02,0.00000000000000000000e+00,8.00000000000000044409e-01,1.00930232558139509891e+00,1.45929074395478742404e-02,1.45929074395478742404e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,1.50000000000000000000e+02,5.00000000000000000000e+02,7.99999999999999822364e-01,1.44399999999999995026e+00,1.00663716814159287516e+00,1.65375181280155436614e-02,1.65375181280155436614e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,1.50000000000000000000e+02,5.00000000000000000000e+02,1.56599999999999961453e+00,2.00000000000000000000e+00,9.81132075471698006375e-01,2.34916875566223079530e-02,2.34916875566223079530e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedLooseWP,pt_eta,1.50000000000000000000e+02,5.00000000000000000000e+02,2.00000000000000000000e+00,2.50000000000000000000e+00,1.02600216684723721805e+00,3.79623658622903342730e-02,3.79623658622903342730e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,9.54230235783633640168e-01,2.48591516351387188666e-02,2.48591516351387188666e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,9.70994475138121648783e-01,2.65322827517936038477e-02,2.65322827517936038477e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-1.44399999999999995026e+00,-7.99999999999999822364e-01,9.77119784656796830369e-01,2.91006033787882013864e-02,2.91006033787882013864e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-8.00000000000000044409e-01,0.00000000000000000000e+00,9.76157082748947968476e-01,2.54877725741742833243e-02,2.54877725741742833243e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,0.00000000000000000000e+00,8.00000000000000044409e-01,9.78902953586498036920e-01,2.55594681369708358332e-02,2.55594681369708358332e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,7.99999999999999822364e-01,1.44399999999999995026e+00,9.76933514246946854698e-01,2.93375146681677488603e-02,2.93375146681677488603e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,1.56599999999999961453e+00,2.00000000000000000000e+00,9.59778085991678242550e-01,2.66426805995819207529e-02,2.66426805995819207529e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,2.00000000000000000000e+00,2.50000000000000000000e+00,9.45983379501385446275e-01,2.48247206771953152216e-02,2.48247206771953152216e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,9.62686567164179218814e-01,1.06450514730246723755e-02,1.06450514730246723755e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,9.77528089887640394551e-01,7.30630456349544345901e-03,7.30630456349544345901e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,-1.44399999999999995026e+00,-7.99999999999999822364e-01,9.77968176254590204621e-01,1.42083069354270747492e-02,1.42083069354270747492e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,-8.00000000000000044409e-01,0.00000000000000000000e+00,9.68632371392722957282e-01,1.52641468765324934270e-02,1.52641468765324934270e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedMediumWP,pt_eta,3.50000000000000000000e+01,5.00000000000000000000e+01,0.00000000000000000000e+00,8.00000000000000044409e-01,9.78535353535353591425e-01,1.53605114401469625834e-02,1.53605114401469625834e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
