label,vars,var0_min,var0_max,var1_min,var1_max,value,stat_up,stat_down,syst_up,syst_down
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,1.80000000000000004441e+00,2.10000000000000008882e+00,2.17813601601272888164e-01,1.95025049949042114661e-02,1.95025049949042114661e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,2.50000000000000000000e+01,2.80000000000000000000e+01,-2.33333333333333348136e+00,-2.10000000000000008882e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,2.50000000000000000000e+01,2.80000000000000000000e+01,-2.10000000000000008882e+00,-1.80000000000000004441e+00,7.49116301001522599812e-01,2.27650729499857366889e-02,2.27650729499857366889e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,2.50000000000000000000e+01,2.80000000000000000000e+01,-1.80000000000000004441e+00,-1.56600000000000005862e+00,7.10748750008364349462e-01,2.22719170435570698596e-02,2.22719170435570698596e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,2.50000000000000000000e+01,2.80000000000000000000e+01,-1.56600000000000005862e+00,-1.44419999999999992824e+00,7.61333203276819525662e-01,3.50417218396036900252e-02,3.50417218396036900252e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,2.50000000000000000000e+01,2.80000000000000000000e+01,-1.44419999999999992824e+00,-1.10000000000000008882e+00,7.06817903044512085842e-01,2.14791414803862795724e-02,2.14791414803862795724e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,2.50000000000000000000e+01,2.80000000000000000000e+01,-1.10000000000000008882e+00,-8.00000000000000044409e-01,8.35365324122538610574e-01,2.23615382931258710464e-02,2.23615382931258710464e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,2.50000000000000000000e+01,2.80000000000000000000e+01,-8.00000000000000044409e-01,-5.99999999999999977796e-01,8.50079901745046551120e-01,2.27282984828023268409e-02,2.27282984828023268409e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,2.50000000000000000000e+01,2.80000000000000000000e+01,-5.99999999999999977796e-01,-4.00000000000000022204e-01,8.30066915957053841346e-01,2.22841984327879737149e-02,2.22841984327879737149e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,2.50000000000000000000e+01,2.80000000000000000000e+01,-4.00000000000000022204e-01,-2.00000000000000011102e-01,7.57117658469858345605e-01,2.01472614175721223551e-02,2.01472614175721223551e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
