label,vars,var0_min,var0_max,var1_min,var1_max,value,stat_up,stat_down,syst_up,syst_down
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,0.00000000000000000000e+00,5.00000000000000000000e-01,9.86761710794297419724e-01,3.52759838608732905277e-03,3.52759838608732905277e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,5.00000000000000000000e-01,1.00000000000000000000e+00,9.87817258883248561219e-01,3.51685443161193610900e-03,3.51685443161193610900e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,1.00000000000000000000e+00,1.44399999999999995026e+00,9.91845056065239649712e-01,5.29679146045528709275e-03,5.29679146045528709275e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,1.44399999999999995026e+00,1.56599999999999961453e+00,9.62243797195253547372e-01,2.29851949866909724407e-02,2.29851949866909724407e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,1.56599999999999961453e+00,2.00000000000000000000e+00,9.96907216494845149768e-01,4.49371025107286360678e-03,4.49371025107286360678e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,2.00000000000000000000e+00,2.50000000000000000000e+00,1.00212765957446792164e+00,6.38297872340416131559e-03,6.38297872340416131559e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,1.01802757158006373928e+00,1.22296528045289475128e-02,1.22296528045289475128e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,1.01541623843782136127e+00,1.06806832943610180431e-02,1.06806832943610180431e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-1.56599999999999961453e+00,-1.44399999999999995026e+00,1.03289473684210508786e+00,4.41465397789415694985e-02,4.41465397789415694985e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-1.44399999999999995026e+00,-1.00000000000000000000e+00,1.00811359026369151692e+00,5.55499551222278075552e-03,5.55499551222278075552e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-1.00000000000000000000e+00,-5.00000000000000000000e-01,1.00507614213197982167e+00,4.65236111163029510823e-03,4.65236111163029510823e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-5.00000000000000000000e-01,0.00000000000000000000e+00,9.96945010183299173967e-01,6.44048403292949225851e-03,6.44048403292949225851e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,0.00000000000000000000e+00,5.00000000000000000000e-01,9.96945010183299173967e-01,6.44048403292949225851e-03,6.44048403292949225851e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
