label,vars,var0_min,var0_max,var1_min,var1_max,value,stat_up,stat_down,syst_up,syst_down
CutBasedVetoWP,pt_eta,1.00000000000000000000e+01,2.00000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,1.00820793433652511339e+00,3.69293706886267350531e-02,3.69293706886267350531e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedVetoWP,pt_eta,1.00000000000000000000e+01,2.00000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,1.04183006535947719762e+00,4.32126989307878434099e-02,4.32126989307878434099e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedVetoWP,pt_eta,1.00000000000000000000e+01,2.00000000000000000000e+01,-1.44399999999999995026e+00,-7.99999999999999822364e-01,1.03856041131105403252e+00,3.41222723713581824190e-02,3.41222723713581824190e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedVetoWP,pt_eta,1.00000000000000000000e+01,2.00000000000000000000e+01,-8.00000000000000044409e-01,0.00000000000000000000e+00,1.02297297297297284935e+00,3.20803666898304418176e-02,3.20803666898304418176e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedVetoWP,pt_eta,1.00000000000000000000e+01,2.00000000000000000000e+01,0.00000000000000000000e+00,8.00000000000000044409e-01,9.96015936254979972198e-01,3.15876491162451547567e-02,3.15876491162451547567e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedVetoWP,pt_eta,1.00000000000000000000e+01,2.00000000000000000000e+01,7.99999999999999822364e-01,1.44399999999999995026e+00,1.01538461538461510791e+00,3.40347793652777744211e-02,3.40347793652777744211e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedVetoWP,pt_eta,1.00000000000000000000e+01,2.00000000000000000000e+01,1.56599999999999961453e+00,2.00000000000000000000e+00,1.02365308804204957482e+00,4.33938494768945637325e-02,4.33938494768945637325e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedVetoWP,pt_eta,1.00000000000000000000e+01,2.00000000000000000000e+01,2.00000000000000000000e+00,2.50000000000000000000e+00,1.01886792452830188260e+00,3.63819002336740471293e-02,3.63819002336740471293e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedVetoWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,1.01061320754716987835e+00,1.12492830355771702283e-02,1.12492830355771702283e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedVetoWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,1.01142857142857089947e+00,2.84683856161854452471e-02,2.84683856161854452471e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
CutBasedVetoWP,pt_eta,2.00000000000000000000e+01,3.50000000000000000000e+01,-1.44399999999999995026e+00,-7.99999999999999822364e-01,9.85539488320356205087e-01,2.30862264521882222523e-02,2.30862264521882222523e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
